frame_ms,mean_state_share,max_state_share,pixels
44000,0.4266799373614535,0.4267241379310345,5461
44050,0.42667879996888214,0.4267241379310345,5324
44100,0.42667761146408845,0.4267241379310345,5188
44150,0.42667759352098505,0.4267241379310345,5186
44200,0.42667759352098505,0.4267241379310345,5186
44250,0.4266775845442425,0.4267241379310345,5185
44300,0.4266775755640367,0.4267241379310345,5184
44350,0.4266775755640367,0.4267241379310345,5184
44400,0.429752066115722,0.4297520661157025,5177
44450,0.42975206611572203,0.4297520661157025,5315
44500,0.4297520661157221,0.4297520661157025,5452
44550,0.4297520661157221,0.4297520661157025,5422
44600,0.4297520661157221,0.4297520661157025,5422
44650,0.42975206611572214,0.4297520661157025,5470
44700,0.42975206611572203,0.4297520661157025,5331
44750,0.429752066115722,0.4297520661157025,5195
44800,0.429752066115722,0.4297520661157025,5176
44850,0.429752066115722,0.4297520661157025,5178
44900,0.429752066115722,0.4297520661157025,5178
44950,0.42667759352098505,0.4267241379310345,5186
45000,0.42667759352098505,0.4267241379310345,5186
45050,0.4266775845442425,0.4267241379310345,5185
45100,0.4266775755640367,0.4267241379310345,5184
45150,0.4266775845442425,0.4267241379310345,5185
45200,0.4266775845442425,0.4267241379310345,5185
45250,0.42667759352098505,0.4267241379310345,5186
45300,0.42667759352098505,0.4267241379310345,5186
45350,0.42667761146408845,0.4267241379310345,5188
45400,0.4266776024942664,0.4267241379310345,5187
45450,0.42667761146408845,0.4267241379310345,5188
45500,0.42667761146408845,0.4267241379310345,5188
45550,0.4266776024942664,0.4267241379310345,5187
45600,0.42667761146408845,0.4267241379310345,5188
45650,0.4266776024942664,0.4267241379310345,5187
45700,0.42667761146408845,0.4267241379310345,5188
45750,0.42667759352098505,0.4267241379310345,5186
45800,0.42667759352098505,0.4267241379310345,5186
45850,0.4266775845442425,0.4267241379310345,5185
45900,0.4266775755640367,0.4267241379310345,5184
45950,0.4266775755640367,0.4267241379310345,5184
46000,0.429752066115722,0.4297520661157025,5177
46050,0.42975206611572203,0.4297520661157025,5315
46100,0.4297520661157221,0.4297520661157025,5452
46150,0.4297520661157221,0.4297520661157025,5422
46200,0.4297520661157221,0.4297520661157025,5422
46250,0.42975206611572214,0.4297520661157025,5471
46300,0.42975206611572203,0.4297520661157025,5332
46350,0.429752066115722,0.4297520661157025,5196
46400,0.429752066115722,0.4297520661157025,5177
46450,0.429752066115722,0.4297520661157025,5178
