frame_ms,class,max_run_h,max_run_v
44000,red,509,22
44050,red,509,22
44100,red,509,22
44150,red,509,22
44200,red,509,22
44250,red,509,22
44300,red,509,22
44350,red,509,22
44400,amber,509,22
44450,amber,509,22
44500,amber,509,22
44550,amber,509,22
44600,amber,509,22
44650,amber,509,22
44700,amber,509,22
44750,amber,509,22
44800,amber,509,22
44850,amber,509,22
44900,amber,509,22
44950,red,509,22
45000,red,509,22
45050,red,509,22
45100,red,509,22
45150,red,509,22
45200,red,509,22
45250,red,509,22
45300,red,509,22
45350,red,509,22
45400,red,509,22
45450,red,509,22
45500,red,509,22
45550,red,509,22
45600,red,509,22
45650,red,509,22
45700,red,509,22
45750,red,509,22
45800,red,509,22
45850,red,509,22
45900,red,509,22
45950,red,509,22
46000,amber,509,22
46050,amber,509,22
46100,amber,509,22
46150,amber,509,22
46200,amber,509,22
46250,amber,509,22
46300,amber,509,22
46350,amber,509,22
46400,amber,509,22
46450,amber,509,22
