frame_ms,class,max_run_h,max_run_v
44000,red,362,16
44050,red,362,16
44100,red,362,16
44150,red,362,16
44200,red,362,16
44250,red,362,16
44300,red,362,16
44350,red,362,16
44400,amber,362,16
44450,amber,362,16
44500,amber,362,16
44550,amber,362,16
44600,amber,362,16
44650,amber,361,16
44700,amber,361,16
44750,amber,361,16
44800,amber,361,16
44850,amber,362,16
44900,amber,362,16
44950,red,362,16
45000,red,362,16
45050,red,362,16
45100,red,362,16
45150,red,362,16
45200,red,362,16
45250,red,362,16
45300,red,362,16
45350,red,362,16
45400,red,362,16
45450,red,362,16
45500,red,362,16
45550,red,362,16
45600,red,362,16
45650,red,362,16
45700,red,362,16
45750,red,362,16
45800,red,362,16
45850,red,362,16
45900,red,362,16
45950,red,362,16
46000,amber,362,16
46050,amber,362,16
46100,amber,362,16
46150,amber,362,16
46200,amber,362,16
46250,amber,362,16
46300,amber,362,16
46350,amber,362,16
46400,amber,362,16
46450,amber,362,16
