frame_ms,class,max_run_h,max_run_v
64000,red,4,7
64050,red,4,7
64100,red,4,7
64150,red,4,7
64200,red,4,7
64250,red,4,7
64300,red,4,7
64350,red,4,7
64400,red,4,7
64450,red,4,7
64500,amber,19,14
64550,amber,19,14
64600,amber,19,14
64650,amber,19,14
64700,amber,19,14
64750,amber,19,14
64800,amber,19,14
64850,amber,19,14
64900,amber,19,14
64950,amber,19,14
65000,amber,19,14
65050,amber,19,14
65100,amber,19,14
65150,amber,19,14
65200,amber,19,14
65250,amber,19,14
65300,amber,19,14
65350,amber,19,14
65400,amber,19,14
65450,amber,19,14
65500,amber,19,14
65550,amber,19,14
65600,amber,19,14
65650,amber,19,14
65700,red,4,7
65750,red,4,7
65800,red,4,7
65850,red,4,7
65900,red,4,7
65950,red,4,7
66000,red,4,7
66050,red,4,7
66100,red,4,7
66150,red,4,7
66200,red,4,7
66250,red,4,7
66300,red,4,7
66350,red,4,7
66400,red,4,7
66450,red,4,7
