frame_ms,class,max_run_h,max_run_v
64000,red,8,15
64050,red,8,15
64100,red,8,15
64150,red,8,15
64200,red,8,15
64250,red,8,15
64300,red,8,15
64350,red,8,15
64400,red,8,15
64450,red,8,15
64500,amber,26,20
64550,amber,26,20
64600,amber,26,20
64650,amber,26,20
64700,amber,26,20
64750,amber,26,20
64800,amber,26,20
64850,amber,26,20
64900,amber,26,20
64950,amber,26,20
65000,amber,26,20
65050,amber,26,20
65100,amber,26,20
65150,amber,26,20
65200,amber,26,20
65250,amber,26,20
65300,amber,26,20
65350,amber,26,20
65400,amber,26,20
65450,amber,26,20
65500,amber,26,20
65550,amber,26,20
65600,amber,26,20
65650,amber,26,20
65700,red,8,15
65750,red,8,15
65800,red,8,15
65850,red,8,15
65900,red,8,15
65950,red,8,15
66000,red,8,15
66050,red,8,15
66100,red,8,15
66150,red,8,15
66200,red,8,15
66250,red,8,15
66300,red,8,15
66350,red,8,15
66400,red,8,15
66450,red,8,15
