frame_ms,class,max_run_h,max_run_v
44000,red,299,18
44050,red,299,18
44100,red,299,18
44150,red,314,18
44200,red,330,18
44250,red,345,18
44300,red,360,18
44350,red,376,18
44400,amber,391,18
44450,amber,406,18
44500,amber,422,18
44550,amber,418,18
44600,amber,418,18
44650,amber,484,18
44700,amber,469,18
44750,amber,454,18
44800,amber,438,18
44850,amber,423,18
44900,amber,408,18
44950,red,393,18
45000,red,377,18
45050,red,362,18
45100,red,347,18
45150,red,331,18
45200,red,316,18
45250,red,301,18
45300,red,285,18
45350,red,270,18
45400,red,255,18
45450,red,240,18
45500,red,238,18
45550,red,253,18
45600,red,269,18
45650,red,284,18
45700,red,299,18
45750,red,314,18
45800,red,330,18
45850,red,345,18
45900,red,360,18
45950,red,376,18
46000,amber,391,18
46050,amber,406,18
46100,amber,422,18
46150,amber,418,18
46200,amber,418,18
46250,amber,484,18
46300,amber,469,18
46350,amber,454,18
46400,amber,438,18
46450,amber,423,18
