frame_ms,class,max_run_h,max_run_v
44000,red,154,8
44050,red,154,8
44100,red,154,8
44150,red,162,8
44200,red,169,8
44250,red,177,8
44300,red,185,8
44350,red,192,8
44400,amber,200,8
44450,amber,208,8
44500,amber,215,8
44550,amber,208,8
44600,amber,208,8
44650,amber,249,8
44700,amber,242,8
44750,amber,234,8
44800,amber,226,8
44850,amber,219,8
44900,amber,211,8
44950,red,203,8
45000,red,196,8
45050,red,188,8
45100,red,180,8
45150,red,173,8
45200,red,165,8
45250,red,157,8
45300,red,150,8
45350,red,142,8
45400,red,134,8
45450,red,127,8
45500,red,124,8
45550,red,131,8
45600,red,139,8
45650,red,147,8
45700,red,154,8
45750,red,162,8
45800,red,169,8
45850,red,177,8
45900,red,185,8
45950,red,192,8
46000,amber,200,8
46050,amber,208,8
46100,amber,215,8
46150,amber,208,8
46200,amber,208,8
46250,amber,249,8
46300,amber,242,8
46350,amber,234,8
46400,amber,226,8
46450,amber,219,8
