frame_ms,class,max_run_h,max_run_v
64000,red,8,15
64050,red,8,15
64100,red,8,15
64150,red,8,15
64200,red,8,15
64250,red,8,15
64300,red,8,15
64350,red,8,15
64400,red,8,15
64450,red,8,15
64500,amber,19,15
64550,amber,19,15
64600,amber,19,15
64650,amber,19,15
64700,amber,19,15
64750,amber,19,15
64800,amber,19,15
64850,amber,19,15
64900,amber,19,15
64950,amber,19,15
65000,amber,19,15
65050,amber,19,15
65100,amber,19,15
65150,amber,19,15
65200,amber,19,15
65250,amber,19,15
65300,amber,19,15
65350,amber,19,15
65400,amber,19,15
65450,amber,19,15
65500,amber,19,15
65550,amber,19,15
65600,amber,19,15
65650,amber,19,15
65700,red,8,15
65750,red,8,15
65800,red,8,15
65850,red,8,15
65900,red,8,15
65950,red,8,15
66000,red,8,15
66050,red,8,15
66100,red,8,15
66150,red,8,15
66200,red,8,15
66250,red,8,15
66300,red,8,15
66350,red,8,15
66400,red,8,15
66450,red,8,15
