Invoice number,5564331912,
Invoice date,2026-04-30,
Due date,2026-05-30,
Billing ID,3028-9127-5329,
Billing account ID,010FC8-663B3D-2AE43C,
Currency,EUR,
Currency exchange rate,0.8671,
Total amount due,€317.54,
Billing account name,Billing account ID,Project name,Project ID,Project hierarchy,Service description,Service ID,SKU description,SKU ID,Consumption model description,Credit type,Cost type,Usage start date,Usage end date,Usage amount,Usage unit,Unrounded Cost (€),Cost (€)
RT-Solarity,010FC8-663B3D-2AE43C,righttenantry,righttenantry,[Project not associated with any folders or organizations],Cloud Run,152E-C115-5142,Cloud Run Network Data Transfer Out via Carrier Peering Network - Europe Based,1EA7-1C33-8290,Default,,Usage,2026-04-30,2026-04-30,0.045,gibibyte,0.000772,0.00
RT-Solarity,010FC8-663B3D-2AE43C,righttenantry,righttenantry,[Project not associated with any folders or organizations],Cloud Scheduler,1F14-4801-0E16,Jobs,A5D6-43A2-28A7,Default,,Usage,2026-04-30,2026-04-30,1,count,0.000000,0.00
RT-Solarity,010FC8-663B3D-2AE43C,righttenantry-staging,righttenantry-staging,[Project not associated with any folders or organizations],Dataplex,51C6-B3F5-9B38,Dataplex Premium Processing (milli DCU-hr) Netherlands ,BE79-3542-C3AE,Default,,Usage,2026-04-29,2026-04-30,988.778,hour,0.084003,0.08
RT-Solarity,010FC8-663B3D-2AE43C,righttenantry-staging,righttenantry-staging,[Project not associated with any folders or organizations],Vertex AI,C7E2-9256-1C43,Gemini 3 Flash Text Input Caching,E5C2-A033-7712,Default,,Usage,2026-04-29,2026-04-30,"584,672",count,0.025319,0.03
RT-Solarity,010FC8-663B3D-2AE43C,righttenantry-staging,righttenantry-staging,[Project not associated with any folders or organizations],Cloud Trace,9B82-7513-9D1C,Spans ingested,FFCF-0164-9BC0,Default,,Usage,2026-04-29,2026-04-30,"7,394",count,0.000000,0.00
RT-Solarity,010FC8-663B3D-2AE43C,righttenantry-staging,righttenantry-staging,[Project not associated with any folders or organizations],Dataplex,51C6-B3F5-9B38,Dataplex Premium Processing (milli DCU-hr) Belgium,2BB8-C749-BD71,Default,,Usage,2026-04-27,2026-04-30,359.556,hour,0.030523,0.03
RT-Solarity,010FC8-663B3D-2AE43C,righttenantry-staging,righttenantry-staging,[Project not associated with any folders or organizations],BigQuery Storage API,DCC9-8DB9-673F,BigQuery Storage API - Write (europe),CB55-0D6D-EA30,Default,,Usage,2026-04-27,2026-04-30,0.217,gibibyte,0.000000,0.00
RT-Solarity,010FC8-663B3D-2AE43C,righttenantry-staging,righttenantry-staging,[Project not associated with any folders or organizations],BigQuery,24E6-581D-38E5,Analysis,1DF5-1F98-1DD1,Default,,Usage,2026-04-25,2026-04-30,0.001,tebibyte,0.000000,0.00
RT-Solarity,010FC8-663B3D-2AE43C,righttenantry-staging,righttenantry-staging,[Project not associated with any folders or organizations],BigQuery,24E6-581D-38E5,Streaming Insert,934C-4547-E59A,Default,,Usage,2026-04-24,2026-04-30,6.573,mebibyte,0.000271,0.00
RT-Solarity,010FC8-663B3D-2AE43C,righttenantry,righttenantry,[Project not associated with any folders or organizations],BigQuery,24E6-581D-38E5,Streaming Insert,934C-4547-E59A,Default,,Usage,2026-04-24,2026-04-30,0.039,mebibyte,0.000000,0.00
RT-Solarity,010FC8-663B3D-2AE43C,righttenantry-staging,righttenantry-staging,[Project not associated with any folders or organizations],Cloud Scheduler,1F14-4801-0E16,Jobs,A5D6-43A2-28A7,Default,,Usage,2026-04-24,2026-04-30,7,count,0.000000,0.00
RT-Solarity,010FC8-663B3D-2AE43C,righttenantry-staging,righttenantry-staging,[Project not associated with any folders or organizations],BigQuery,24E6-581D-38E5,Active Logical Storage,947D-3B46-7781,Default,,Usage,2026-04-24,2026-04-30,0.007,gibibyte month,0.000000,0.00
RT-Solarity,010FC8-663B3D-2AE43C,iginsider,iginsider,[Project not associated with any folders or organizations],Gemini API,AEFD-7695-64FA,Gemini 3.1 Flash Image Image Input - Predictions,A44E-F89C-67C0,Default,,Usage,2026-04-21,2026-04-21,258,count,0.000111,0.00
RT-Solarity,010FC8-663B3D-2AE43C,righttenantry-staging,righttenantry-staging,[Project not associated with any folders or organizations],Vertex AI,C7E2-9256-1C43,Grounding with Google Search on Gemini 3,1DB9-E3DA-3354,Default,,Usage,2026-04-18,2026-04-18,"9,817",count,58.478846,58.48
RT-Solarity,010FC8-663B3D-2AE43C,righttenantry-staging,righttenantry-staging,[Project not associated with any folders or organizations],Container Registry Vulnerability Scanning,82AF-DE7A-51D0,Container Images Scanned,BEA5-E1D1-4659,Default,,Usage,2026-04-18,2026-04-30,35,count,7.891031,7.89
