Invoice number,5623986721,
Invoice date,2026-06-30,
Due date,2026-07-30,
Billing ID,3028-9127-5329,
Billing account ID,010FC8-663B3D-2AE43C,
Currency,EUR,
Currency exchange rate,0.8591,
Total amount due,€437.07,
Billing account name,Billing account ID,Project name,Project ID,Project hierarchy,Service description,Service ID,SKU description,SKU ID,Consumption model description,Credit type,Cost type,Usage start date,Usage end date,Usage amount,Usage unit,Unrounded Cost (€),Cost (€)
RT-Solarity,010FC8-663B3D-2AE43C,iginsider,iginsider,[Project not associated with any folders or organizations],Gemini API,AEFD-7695-64FA,Veo Fast Generation 720p with Audio,B8D9-0E25-9EE5,Default,,Usage,2026-06-24,2026-06-25,112,second,9.621360,9.62
RT-Solarity,010FC8-663B3D-2AE43C,iginsider,iginsider,[Project not associated with any folders or organizations],Gemini API,AEFD-7695-64FA,Veo Fast Generation 1080p with Audio,7429-8BB4-7554,Default,,Usage,2026-06-18,2026-06-25,32,second,3.298752,3.30
RT-Solarity,010FC8-663B3D-2AE43C,righttenantry-staging,righttenantry-staging,[Project not associated with any folders or organizations],Vertex AI,C7E2-9256-1C43,Gemini 3.5 Flash Global Text Output - Predictions,4E73-15BD-0D78,Default,,Usage,2026-06-09,2026-06-09,"2,880,101",count,22.267215,22.27
RT-Solarity,010FC8-663B3D-2AE43C,righttenantry-staging,righttenantry-staging,[Project not associated with any folders or organizations],Vertex AI,C7E2-9256-1C43,Gemini 3.5 Flash Global Text Input - Predictions,9733-FF95-45E3,Default,,Usage,2026-06-09,2026-06-09,"16,489,968",count,21.248493,21.25
RT-Solarity,010FC8-663B3D-2AE43C,righttenantry-staging,righttenantry-staging,[Project not associated with any folders or organizations],Vertex AI,C7E2-9256-1C43,Gemini 3.0 / 3.1 Pro Text Output - Predictions,2737-2D33-D986,Default,,Usage,2026-06-09,2026-06-09,"779,728",count,8.037823,8.04
RT-Solarity,010FC8-663B3D-2AE43C,righttenantry-staging,righttenantry-staging,[Project not associated with any folders or organizations],Vertex AI,C7E2-9256-1C43,Gemini 3.0 / 3.1 Pro Text Input - Predictions,EAC4-305F-1249,Default,,Usage,2026-06-09,2026-06-09,"3,318,288",count,5.701104,5.70
RT-Solarity,010FC8-663B3D-2AE43C,righttenantry-staging,righttenantry-staging,[Project not associated with any folders or organizations],Vertex AI,C7E2-9256-1C43,sessions events appended in global,0D5A-FCD2-CB63,Default,,Usage,2026-06-09,2026-06-09,"6,198",count,1.331086,1.33
RT-Solarity,010FC8-663B3D-2AE43C,righttenantry-staging,righttenantry-staging,[Project not associated with any folders or organizations],Vertex AI,C7E2-9256-1C43,Gemini 3.5 Flash Global Text Input Caching,36F0-C9BF-CBB8,Default,,Usage,2026-06-09,2026-06-09,"6,302,641",count,0.812088,0.81
RT-Solarity,010FC8-663B3D-2AE43C,righttenantry-staging,righttenantry-staging,[Project not associated with any folders or organizations],Cloud Run,152E-C115-5142,Services CPU (Instance-based billing) in europe-west1,4C19-DF1E-81AB,Default,,Usage,2026-06-09,2026-06-09,"33,871.571",second,0.523739,0.52
RT-Solarity,010FC8-663B3D-2AE43C,righttenantry-staging,righttenantry-staging,[Project not associated with any folders or organizations],Vertex AI,C7E2-9256-1C43,Gemini 3.5 Flash Global Image Input - Predictions,07A6-7CDB-0AF5,Default,,Usage,2026-06-09,2026-06-09,"142,907",count,0.184114,0.18
