Invoice number,5600045137,
Invoice date,2026-05-31,
Due date,2026-06-30,
Billing ID,3028-9127-5329,
Billing account ID,010FC8-663B3D-2AE43C,
Currency,EUR,
Currency exchange rate,0.855,
Total amount due,€586.35,
Billing account name,Billing account ID,Project name,Project ID,Project hierarchy,Service description,Service ID,SKU description,SKU ID,Consumption model description,Credit type,Cost type,Usage start date,Usage end date,Usage amount,Usage unit,Unrounded Cost (€),Cost (€)
RT-Solarity,010FC8-663B3D-2AE43C,iginsider,iginsider,[Project not associated with any folders or organizations],Gemini API,AEFD-7695-64FA,Generate_content image output token count for Gemini 3 Pro Image,096D-0370-0236,Default,,Usage,2026-05-31,2026-05-31,"1,120",count,0.114918,0.11
RT-Solarity,010FC8-663B3D-2AE43C,iginsider,iginsider,[Project not associated with any folders or organizations],Gemini API,AEFD-7695-64FA,Generate_content text output token count for gemini 3 pro short,530B-F4DF-9814,Default,,Usage,2026-05-31,2026-05-31,452,count,0.004637,0.00
RT-Solarity,010FC8-663B3D-2AE43C,iginsider,iginsider,[Project not associated with any folders or organizations],Gemini API,AEFD-7695-64FA,Generate_content text input token count for gemini 3 pro short,FB70-0CFB-9533,Default,,Usage,2026-05-31,2026-05-31,210,count,0.000359,0.00
RT-Solarity,010FC8-663B3D-2AE43C,righttenantry,righttenantry,[Project not associated with any folders or organizations],Vertex AI,C7E2-9256-1C43,Gemini 3.5 Flash Global Text Output - Predictions,4E73-15BD-0D78,Default,,Usage,2026-05-25,2026-05-29,"406,726",count,3.129879,3.13
RT-Solarity,010FC8-663B3D-2AE43C,righttenantry,righttenantry,[Project not associated with any folders or organizations],Vertex AI,C7E2-9256-1C43,Gemini 3.5 Flash Global Text Input - Predictions,9733-FF95-45E3,Default,,Usage,2026-05-25,2026-05-29,"1,674,039",count,2.147053,2.15
RT-Solarity,010FC8-663B3D-2AE43C,righttenantry,righttenantry,[Project not associated with any folders or organizations],Vertex AI,C7E2-9256-1C43,Gemini 3.5 Flash Global Text Input Caching,36F0-C9BF-CBB8,Default,,Usage,2026-05-25,2026-05-29,"1,649,574",count,0.211552,0.21
RT-Solarity,010FC8-663B3D-2AE43C,righttenantry,righttenantry,[Project not associated with any folders or organizations],Vertex AI,C7E2-9256-1C43,Gemini 3.5 Flash Global Image Input - Predictions,07A6-7CDB-0AF5,Default,,Usage,2026-05-25,2026-05-29,"14,986",count,0.019214,0.02
RT-Solarity,010FC8-663B3D-2AE43C,righttenantry,righttenantry,[Project not associated with any folders or organizations],Vertex AI,C7E2-9256-1C43,Gemini 3.5 Flash Global Image Input Caching,38BC-34A5-DF4E,Default,,Usage,2026-05-25,2026-05-29,"9,884",count,0.001264,0.00
RT-Solarity,010FC8-663B3D-2AE43C,righttenantry-staging,righttenantry-staging,[Project not associated with any folders or organizations],Vertex AI,C7E2-9256-1C43,Gemini 3.5 Flash Global Text Output - Predictions,4E73-15BD-0D78,Default,,Usage,2026-05-23,2026-05-23,"68,185",count,0.524696,0.52
RT-Solarity,010FC8-663B3D-2AE43C,righttenantry-staging,righttenantry-staging,[Project not associated with any folders or organizations],Vertex AI,C7E2-9256-1C43,Gemini 3.5 Flash Global Text Input - Predictions,9733-FF95-45E3,Default,,Usage,2026-05-23,2026-05-23,"332,271",count,0.426154,0.43
RT-Solarity,010FC8-663B3D-2AE43C,righttenantry-staging,righttenantry-staging,[Project not associated with any folders or organizations],Vertex AI,C7E2-9256-1C43,Gemini 3.5 Flash Global Text Input Caching,36F0-C9BF-CBB8,Default,,Usage,2026-05-23,2026-05-23,"77,932",count,0.009992,0.01
RT-Solarity,010FC8-663B3D-2AE43C,righttenantry-staging,righttenantry-staging,[Project not associated with any folders or organizations],Vertex AI,C7E2-9256-1C43,Gemini 3.5 Flash Global Image Input - Predictions,07A6-7CDB-0AF5,Default,,Usage,2026-05-23,2026-05-23,"3,344",count,0.004286,0.00
RT-Solarity,010FC8-663B3D-2AE43C,righttenantry-staging,righttenantry-staging,[Project not associated with any folders or organizations],Vertex AI,C7E2-9256-1C43,Gemini 3.5 Flash Global Image Input Caching,38BC-34A5-DF4E,Default,,Usage,2026-05-23,2026-05-23,888,count,0.000113,0.00
RT-Solarity,010FC8-663B3D-2AE43C,righttenantry,righttenantry,[Project not associated with any folders or organizations],Cloud Run,152E-C115-5142,Jobs CPU in europe-west1,72BD-0AE2-8A8F,Default,,Usage,2026-05-15,2026-05-31,"2,700",second,0.041536,0.04
RT-Solarity,010FC8-663B3D-2AE43C,righttenantry-staging,righttenantry-staging,[Project not associated with any folders or organizations],Cloud Run,152E-C115-5142,Jobs CPU in europe-west1,72BD-0AE2-8A8F,Default,,Usage,2026-05-15,2026-05-21,600,second,0.009230,0.01
RT-Solarity,010FC8-663B3D-2AE43C,righttenantry,righttenantry,[Project not associated with any folders or organizations],Cloud Run,152E-C115-5142,Jobs Memory in europe-west1,56BC-892D-86F5,Default,,Usage,2026-05-15,2026-05-31,"1,980",gibibyte second,0.003369,0.00
RT-Solarity,010FC8-663B3D-2AE43C,righttenantry-staging,righttenantry-staging,[Project not associated with any folders or organizations],Cloud Run,152E-C115-5142,Jobs Memory in europe-west1,56BC-892D-86F5,Default,,Usage,2026-05-15,2026-05-21,300,gibibyte second,0.000510,0.00
RT-Solarity,010FC8-663B3D-2AE43C,righttenantry,righttenantry,[Project not associated with any folders or organizations],Vertex AI,C7E2-9256-1C43,Gemini 3.0 / 3.1 Pro Text Output - Predictions,2737-2D33-D986,Default,,Usage,2026-05-12,2026-05-29,"1,030,722",count,10.575694,10.58
RT-Solarity,010FC8-663B3D-2AE43C,righttenantry,righttenantry,[Project not associated with any folders or organizations],Vertex AI,C7E2-9256-1C43,Gemini 3 Flash Text Output - Predictions,0127-F0B7-365E,Default,,Usage,2026-05-12,2026-05-18,"2,810,788",count,7.209796,7.21
RT-Solarity,010FC8-663B3D-2AE43C,righttenantry,righttenantry,[Project not associated with any folders or organizations],Vertex AI,C7E2-9256-1C43,Gemini 3.0 / 3.1 Pro Text Input - Predictions,EAC4-305F-1249,Default,,Usage,2026-05-12,2026-05-29,"3,024,990",count,5.172965,5.17
RT-Solarity,010FC8-663B3D-2AE43C,righttenantry,righttenantry,[Project not associated with any folders or organizations],Vertex AI,C7E2-9256-1C43,Gemini 3 Flash Text Input - Predictions,7EBE-3B46-F75C,Default,,Usage,2026-05-12,2026-05-18,"6,766,212",count,2.892602,2.89
RT-Solarity,010FC8-663B3D-2AE43C,righttenantry,righttenantry,[Project not associated with any folders or organizations],Vertex AI,C7E2-9256-1C43,sessions events appended in global,0D5A-FCD2-CB63,Default,,Usage,2026-05-12,2026-05-29,"3,012",count,0.643800,0.64
RT-Solarity,010FC8-663B3D-2AE43C,righttenantry-staging,righttenantry-staging,[Project not associated with any folders or organizations],Cloud Run,152E-C115-5142,Services CPU (Request-based billing),4856-B847-F1EB,Default,,Usage,2026-05-12,2026-05-31,"11,048.325",second,0.226655,0.23
RT-Solarity,010FC8-663B3D-2AE43C,righttenantry,righttenantry,[Project not associated with any folders or organizations],Vertex AI,C7E2-9256-1C43,Gemini 3 Flash Image Input - Predictions,9F43-C4E7-2E5B,Default,,Usage,2026-05-12,2026-05-18,"484,147",count,0.206940,0.21
RT-Solarity,010FC8-663B3D-2AE43C,righttenantry,righttenantry,[Project not associated with any folders or organizations],Vertex AI,C7E2-9256-1C43,Gemini 3.0 / 3.1 Pro Text Input Caching,8308-9CED-8950,Default,,Usage,2026-05-12,2026-05-25,"1,199,909",count,0.205169,0.21
RT-Solarity,010FC8-663B3D-2AE43C,righttenantry,righttenantry,[Project not associated with any folders or organizations],Vertex AI,C7E2-9256-1C43,Gemini 3 Flash Text Input Caching,E5C2-A033-7712,Default,,Usage,2026-05-12,2026-05-18,"1,044,472",count,0.044612,0.04
RT-Solarity,010FC8-663B3D-2AE43C,righttenantry-staging,righttenantry-staging,[Project not associated with any folders or organizations],Cloud Run,152E-C115-5142,Services Memory (Request-based billing),02A2-9231-36A6,Default,,Usage,2026-05-12,2026-05-31,"5,327.95",gibibyte second,0.011322,0.01
RT-Solarity,010FC8-663B3D-2AE43C,righttenantry,righttenantry,[Project not associated with any folders or organizations],Vertex AI,C7E2-9256-1C43,Gemini 3 Flash Image Input Caching,AE5B-BE29-85C1,Default,,Usage,2026-05-12,2026-05-16,"69,629",count,0.002968,0.00
RT-Solarity,010FC8-663B3D-2AE43C,righttenantry,righttenantry,[Project not associated with any folders or organizations],Cloud Build,8B5D-EF7D-EB12,Cloud Build: Network Data Transfer Out Internet Premium within Europe,2507-2CC3-F4A2,Default,,Usage,2026-05-12,2026-05-19,0.003,gibibyte,0.000286,0.00
RT-Solarity,010FC8-663B3D-2AE43C,righttenantry-staging,righttenantry-staging,[Project not associated with any folders or organizations],Cloud Run,152E-C115-5142,Services Min Instance CPU (Request-based billing),7EBB-8579-2C98,Default,,Usage,2026-05-12,2026-05-12,85.664,second,0.000182,0.00
RT-Solarity,010FC8-663B3D-2AE43C,righttenantry-staging,righttenantry-staging,[Project not associated with any folders or organizations],Cloud Run,152E-C115-5142,Services Min Instance Memory (Request-based billing),740D-08F2-7A11,Default,,Usage,2026-05-12,2026-05-12,42.832,gibibyte second,0.000091,0.00
RT-Solarity,010FC8-663B3D-2AE43C,righttenantry,righttenantry,[Project not associated with any folders or organizations],Cloud Run,152E-C115-5142,Cloud Run GOOGLE-API Data Transfer Out,0CCB-7057-48DE,Default,,Usage,2026-05-12,2026-05-29,0.017,gibibyte,0.000000,0.00
RT-Solarity,010FC8-663B3D-2AE43C,righttenantry,righttenantry,[Project not associated with any folders or organizations],Cloud Build,8B5D-EF7D-EB12,Build time e2-standard-2,A464-9020-6404,Default,,Usage,2026-05-12,2026-05-19,31.267,minute,0.000000,0.00
RT-Solarity,010FC8-663B3D-2AE43C,righttenantry,righttenantry,[Project not associated with any folders or organizations],Cloud Trace,9B82-7513-9D1C,Spans ingested,FFCF-0164-9BC0,Default,,Usage,2026-05-12,2026-05-29,"11,002",count,0.000000,0.00
RT-Solarity,010FC8-663B3D-2AE43C,righttenantry,righttenantry,[Project not associated with any folders or organizations],BigQuery Storage API,DCC9-8DB9-673F,BigQuery Storage API - Write (europe),CB55-0D6D-EA30,Default,,Usage,2026-05-12,2026-05-29,0.344,gibibyte,0.000000,0.00
RT-Solarity,010FC8-663B3D-2AE43C,righttenantry-staging,righttenantry-staging,[Project not associated with any folders or organizations],Cloud Run,152E-C115-5142,Requests,2DA5-55D3-E679,Default,,Usage,2026-05-12,2026-05-31,"7,894",count,0.000000,0.00
RT-Solarity,010FC8-663B3D-2AE43C,righttenantry-staging,righttenantry-staging,[Project not associated with any folders or organizations],Vertex AI,C7E2-9256-1C43,Gemini 3 Flash Image Input - Predictions,9F43-C4E7-2E5B,Default,,Usage,2026-05-08,2026-05-08,"21,800",count,0.009320,0.01
RT-Solarity,010FC8-663B3D-2AE43C,righttenantry,righttenantry,[Project not associated with any folders or organizations],BigQuery,24E6-581D-38E5,Analysis,1DF5-1F98-1DD1,Default,,Usage,2026-05-08,2026-05-17,0.001,tebibyte,0.000000,0.00
RT-Solarity,010FC8-663B3D-2AE43C,iginsider,iginsider,[Project not associated with any folders or organizations],Gemini API,AEFD-7695-64FA,Veo Generation 1080p with Audio,211A-68DA-2D04,Default,,Usage,2026-05-04,2026-05-31,72,second,24.625431,24.63
RT-Solarity,010FC8-663B3D-2AE43C,iginsider,iginsider,[Project not associated with any folders or organizations],Gemini API,AEFD-7695-64FA,Gemini 3.1 Flash Image Image Output - Predictions,1BD4-2AB9-AEFB,Default,,Usage,2026-05-04,2026-05-28,"18,480",count,0.948079,0.95
RT-Solarity,010FC8-663B3D-2AE43C,righttenantry,righttenantry,[Project not associated with any folders or organizations],Artifact Registry,149C-F9EC-3994,Artifact Registry Network Internet Egress Europe to Europe,B202-CE74-F2F2,Default,,Usage,2026-05-04,2026-05-31,3.106,gibibyte,0.278852,0.28
RT-Solarity,010FC8-663B3D-2AE43C,iginsider,iginsider,[Project not associated with any folders or organizations],Gemini API,AEFD-7695-64FA,Gemini 3.1 Flash Image Text Output - Predictions,CE23-3061-A132,Default,,Usage,2026-05-04,2026-05-28,"4,784",count,0.012267,0.01
RT-Solarity,010FC8-663B3D-2AE43C,iginsider,iginsider,[Project not associated with any folders or organizations],Gemini API,AEFD-7695-64FA,Gemini 3.1 Flash Image Text Input - Predictions,79EE-4DC9-1607,Default,,Usage,2026-05-04,2026-05-28,"2,357",count,0.001004,0.00
RT-Solarity,010FC8-663B3D-2AE43C,righttenantry,righttenantry,[Project not associated with any folders or organizations],BigQuery,24E6-581D-38E5,Streaming Insert,934C-4547-E59A,Default,,Usage,2026-05-04,2026-05-29,9.827,mebibyte,0.000393,0.00
