frame_ms,mean_state_share,max_state_share,pixels
44000,0.4344424534307999,0.4396551724137931,3358
44050,0.4629193705730136,0.4870689655172414,3252
44100,0.49921542961049176,0.5474137931034483,3148
44150,0.532813133471403,0.603448275862069,3147
44200,0.5638730920526087,0.6551724137931034,3147
44250,0.5898102681018204,0.6982758620689655,3146
44300,0.6052527018435826,0.7241379310344828,3146
44350,0.6181541582149754,0.7456896551724138,3145
44400,0.6210055754207829,0.7479338842975206,3141
44450,0.6135810042073079,0.7355371900826446,3247
44500,0.5935348823448295,0.7024793388429752,3352
44550,0.5662659428639767,0.6570247933884298,3328
44600,0.5315169560553391,0.5991735537190083,3328
44650,0.4968201331838086,0.5413223140495868,3367
44700,0.4620394798532988,0.4834710743801653,3261
44750,0.4372057995311288,0.44214876033057854,3155
44800,0.4372035015431892,0.44214876033057854,3141
44850,0.46206553703225095,0.4834710743801653,3142
44900,0.5017978231478788,0.5495867768595041,3142
44950,0.5328131334714031,0.603448275862069,3147
45000,0.563945684450404,0.6551724137931034,3147
45050,0.5897239515970086,0.6982758620689655,3146
45100,0.6052149004988479,0.7241379310344828,3145
45150,0.6181946971523425,0.7456896551724138,3146
45200,0.6208883201437909,0.75,3146
45250,0.6130606050644605,0.7370689655172413,3147
45300,0.5923498570066487,0.7025862068965517,3147
45350,0.5639746637163959,0.6551724137931034,3148
45400,0.5302217218368681,0.5991379310344828,3147
45450,0.493983048990308,0.5387931034482759,3147
45500,0.46293815675574845,0.4870689655172414,3147
45550,0.4370391067574035,0.44396551724137934,3147
45600,0.4344422164513413,0.4396551724137931,3147
45650,0.46291898140538745,0.4870689655172414,3147
45700,0.49921542961049176,0.5474137931034483,3148
45750,0.532813133471403,0.603448275862069,3147
45800,0.5638730920526087,0.6551724137931034,3147
45850,0.5898102681018204,0.6982758620689655,3146
45900,0.6052527018435826,0.7241379310344828,3146
45950,0.6181541582149754,0.7456896551724138,3145
46000,0.6210055754207829,0.7479338842975206,3141
46050,0.6135810042073079,0.7355371900826446,3247
46100,0.5935348823448295,0.7024793388429752,3352
46150,0.5662659428639767,0.6570247933884298,3328
46200,0.5315169560553391,0.5991735537190083,3328
46250,0.4968201331838086,0.5413223140495868,3367
46300,0.4620394798532988,0.4834710743801653,3261
46350,0.4372057995311288,0.44214876033057854,3155
46400,0.4372035015431892,0.44214876033057854,3141
46450,0.46206553703225095,0.4834710743801653,3142
